data_item,required_fields,current_file,candidate_file,exists,readable,date_coverage,security_coverage,nonnull_rate,pit_status,can_reuse,must_refetch,priority,notes
stock_daily,date;code;close;close_adj;return;total_mv;float_mv;turnover;amount;volume;list_status;is_st;suspend_flag;limit_up_down_flag,data/raw/stock_daily.parquet,data/raw/stock_daily_ifind_candidate.parquet,True,False,2024-01-02 to 2026-04-17,n_code=5417,"{""date"": 1.0, ""code"": 1.0, ""close_adj"": 1.0, ""total_mv"": 1.0, ""float_mv"": 1.0, ""turnover"": 0.9537, ""amount"": 0.9537}",行情近似可 PIT；缺停牌/ST/涨跌停/上市状态；仅 2024 起,partial,yes,P0,"Barra 行情类描述变量、风格收益截面回归、市值/流动性过滤 | pandas/pyarrow unreadable in current env; missing fields: close,return,volume,list_status,is_st,suspend_flag,limit_up_down_flag"
trade_calendar,date;is_open;market,data/raw/trade_calendar.parquet,data/raw/trade_calendar_ifind_candidate.parquet,True,False,2014-01-02 to 2026-04-17,,"{""date"": 1.0}",mostly reusable but schema incomplete,partial,review,P0,"周末/月末调仓日、执行日映射 | pandas/pyarrow unreadable in current env; missing fields: is_open,market"
stock_universe,code;name;list_date;delist_date;exchange;board;list_status,data/raw/stock_universe.parquet,data/raw/stock_universe_ifind_candidate.parquet,True,False,1990-12-01 to 2025-12-31,n_code=5420,"{""code"": 1.0}",mostly reusable but schema incomplete,partial,review,P0,"需支持剔除北交所、ST、上市未满 N 日 | pandas/pyarrow unreadable in current env; missing fields: exchange,board,list_status"
stock_industry,date;code;industry;industry_code;industry_name;industry_level;industry_scheme;source;pit_quality,data/raw/stock_industry.parquet,data/raw/stock_industry_ifind_candidate.parquet,True,False,2014-01-30 to 2026-04-17,n_code=5420; n_industry=0,"{""date"": 1.0, ""code"": 1.0, ""industry"": 0.0}",not usable: industry nonnull rate is 0; no scheme/code/quality,no,yes,P0,"截面回归行业因子约束；当前 industry 全空则不可复用 | pandas/pyarrow unreadable in current env; missing fields: industry_code,industry_name,industry_level,industry_scheme,source,pit_quality"
index_constituents,date;index_code;code;weight;source;snapshot_quality,data/raw/index_constituents.parquet,data/raw/index_constituents_ifind_candidate.parquet,True,True,2014-01-30 to 2026-04-17; per-index gaps documented in index_constituents_readiness_report.csv,n_index=17; n_rows=1001028; month-end historical weights; weights normalized to sum=1,"{""date"": 1.0, ""index_code"": 1.0, ""code"": 1.0, ""weight"": 1.0, ""source"": 1.0, ""snapshot_quality"": 1.0}",usable historical Tushare weight snapshots; not full strict report universe; iFinD needed only for missing/verification gaps,yes_with_limitations,partial_gap_fill,P0_gap_fill,"Canonical rebuilt from Tushare parts on 2026-06-12, pandas/DuckDB readable. Known gaps: 000300.SH before 2016, 000852.SH before 2015-05, 000922.SH after 2018-11, 899050.BJ constituent count anomaly; use iFinD to verify/fill. Dynamic ETF-derived index pool may add more indices."
stock_financials,code;report_date;ann_date;publish_date;revenue;net_profit;net_profit_ttm;eps;eps_ttm;bps;total_assets;total_equity;roa;gpm;ato;dtoa;dividend_ttm;div_yield;source;pit_quality,data/raw/stock_financials.parquet,data/raw/stock_financials_ifind_candidate.parquet,True,False,2012-03-31 to 2026-03-31,n_code=5420,"{""code"": 1.0, ""dtoa"": 0.7783, ""revenue"": 0.7968, ""net_profit"": 0.7974, ""roa"": 0.7618, ""gpm"": 0.7788, ""ato"": 0.7689, ""bps"": 0.775, ""eps_ttm"": 0.0, ""div_yield"": 0.621}",not strict PIT: no ann_date/publish_date; eps_ttm empty; many required fields absent,partial for non-PIT experiments,yes,P0,"DTOA/VSAL/VERN/ATO/ROA/GPM/BTOP/ETOP/EGRO/SGRO/DTOP | pandas/pyarrow unreadable in current env; missing fields: ann_date,publish_date,net_profit_ttm,eps,total_assets,total_equity,dividend_ttm,source,pit_quality"
etf_info,code;name;list_date;delist_date;tracking_index;fund_type;manager,data/raw/etf_info.parquet,data/raw/etf_info_ifind_candidate.parquet,True,False,2014-01-02 to 2026-02-02,n_code=1566; n_tracking_index=15,"{""code"": 1.0, ""tracking_index"": 0.1501}",partial: tracking_index low non-null; no delist/fund_type/manager,partial,yes,P0,"报告使用有 ETF 追踪的宽基指数池 | pandas/pyarrow unreadable in current env; missing fields: delist_date,fund_type,manager"
etf_daily,date;code;nav;close;close_adj;amount;volume;turnover;premium_discount,data/raw/etf_daily.parquet,data/raw/etf_daily_ifind_candidate.parquet,True,False,2014-01-02 to 2026-04-17,n_code=235,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.3238, ""amount"": 0.3237}",partial: nav empty; amount/close sparse; no close_adj/volume/turnover/premium_discount,partial,yes,P0,"近 30 日成交额选 ETF；回测用 nav/close_adj/close 需明确 | pandas/pyarrow unreadable in current env; missing fields: close_adj,volume,turnover,premium_discount"
index_daily,date;code;close;return,data/raw/index_daily.parquet,data/raw/index_daily_ifind_candidate.parquet,True,False,2014-01-02 to 2026-04-17,n_code=18,"{""date"": 1.0, ""code"": 1.0, ""close"": 1.0}",mostly reusable but schema incomplete,partial,review,P1,HBETA/HALPHA/HSIGMA 市场基准、回测 benchmark | pandas/pyarrow unreadable in current env; missing fields: return
macro_乘用车日均销量_厂家零售_当周,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_乘用车日均销量_厂家零售_当周.parquet,data/raw/macro_乘用车日均销量_厂家零售_当周_ifind_candidate.parquet,True,False,2024-01-07 to 2026-04-12,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=consumption; freq=w; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_乘用车日均销量_厂家批发_当周,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_乘用车日均销量_厂家批发_当周.parquet,data/raw/macro_乘用车日均销量_厂家批发_当周_ifind_candidate.parquet,True,False,2024-01-07 to 2026-04-12,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=consumption; freq=w; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_电影票房收入,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_电影票房收入.parquet,data/raw/macro_电影票房收入_ifind_candidate.parquet,True,False,2024-01-01 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=consumption; freq=d; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_中国轻纺城成交量,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中国轻纺城成交量.parquet,data/raw/macro_中国轻纺城成交量_ifind_candidate.parquet,False,False,missing,,,macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P2,"category=consumption; freq=d; direction=1 | canonical file missing; missing fields: date,value,indicator_name,category,source,freq,pit_quality"
macro_中国出口集装箱运价指数CCFI_综合指数,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中国出口集装箱运价指数CCFI_综合指数.parquet,data/raw/macro_中国出口集装箱运价指数CCFI_综合指数_ifind_candidate.parquet,True,False,2024-01-05 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=export; freq=w; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_中国沿海散货运价指数CBFI_综合指数,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中国沿海散货运价指数CBFI_综合指数.parquet,data/raw/macro_中国沿海散货运价指数CBFI_综合指数_ifind_candidate.parquet,True,False,2024-01-05 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=export; freq=w; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_三峡水库站_出库流量,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_三峡水库站_出库流量.parquet,data/raw/macro_三峡水库站_出库流量_ifind_candidate.parquet,True,False,2024-03-16 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=industrial; freq=d; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_三峡水库站_入库流量,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_三峡水库站_入库流量.parquet,data/raw/macro_三峡水库站_入库流量_ifind_candidate.parquet,True,False,2024-03-16 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=industrial; freq=d; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_生产资料价格指数,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_生产资料价格指数.parquet,data/raw/macro_生产资料价格指数_ifind_candidate.parquet,True,False,2024-01-07 to 2026-04-12,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,yes,P1,"category=industrial; freq=w; direction=1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_SHIBOR_1周,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_SHIBOR_1周.parquet,data/raw/macro_SHIBOR_1周_ifind_candidate.parquet,True,False,2015-05-08 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,review,P1,"category=credit; freq=d; direction=-1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_SHIBOR_1年,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_SHIBOR_1年.parquet,data/raw/macro_SHIBOR_1年_ifind_candidate.parquet,True,False,2015-05-08 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,review,P1,"category=credit; freq=d; direction=-1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_国债到期收益率_1年,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_国债到期收益率_1年.parquet,data/raw/macro_国债到期收益率_1年_ifind_candidate.parquet,True,False,2014-01-02 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,review,P1,"category=credit; freq=d; direction=-1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
macro_国债到期收益率_10年,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_国债到期收益率_10年.parquet,data/raw/macro_国债到期收益率_10年_ifind_candidate.parquet,True,False,2014-01-02 to 2026-04-17,,"{""date"": 1.0, ""value"": 1.0}",macro release PIT not recorded; source/freq/category absent,partial if coverage acceptable,review,P1,"category=credit; freq=d; direction=-1 | pandas/pyarrow unreadable in current env; missing fields: indicator_name,category,source,freq,pit_quality"
